Train on 370515 samples, validate on 123506 samples
Epoch 1/1

    32/370515 [..............................] - ETA: 7:00:03 - loss: 5.5406
   640/370515 [..............................] - ETA: 21:27 - loss: 6.4050
  1248/370515 [..............................] - ETA: 11:13 - loss: 5.4061
  1792/370515 [..............................] - ETA: 7:59 - loss: 4.8293
  2368/370515 [..............................] - ETA: 6:10 - loss: 4.3693
  2848/370515 [..............................] - ETA: 5:14 - loss: 4.1819
  3488/370515 [..............................] - ETA: 4:21 - loss: 4.0839
  4064/370515 [..............................] - ETA: 3:48 - loss: 4.0088
  4640/370515 [..............................] - ETA: 3:23 - loss: 3.9905
  5120/370515 [..............................] - ETA: 3:08 - loss: 3.9615
  5728/370515 [..............................] - ETA: 2:51 - loss: 3.9027
  6304/370515 [..............................] - ETA: 2:38 - loss: 3.8668
  6912/370515 [..............................] - ETA: 2:26 - loss: 3.8113
  7296/370515 [..............................] - ETA: 2:21 - loss: 3.8182
  7904/370515 [..............................] - ETA: 2:12 - loss: 3.8244
  8544/370515 [..............................] - ETA: 2:04 - loss: 3.8095
  9120/370515 [..............................] - ETA: 1:59 - loss: 3.7846
  9600/370515 [..............................] - ETA: 1:54 - loss: 3.7867
 10240/370515 [..............................] - ETA: 1:49 - loss: 3.8091
 10848/370515 [..............................] - ETA: 1:44 - loss: 3.8140
 11424/370515 [..............................] - ETA: 1:41 - loss: 3.7948
 11872/370515 [..............................] - ETA: 1:38 - loss: 3.7806
 12384/370515 [>.............................] - ETA: 1:36 - loss: 3.7726
 12960/370515 [>.............................] - ETA: 1:33 - loss: 3.7940
 13568/370515 [>.............................] - ETA: 1:30 - loss: 3.7915
 13888/370515 [>.............................] - ETA: 1:29 - loss: 3.7846
 14400/370515 [>.............................] - ETA: 1:27 - loss: 3.8000
 15040/370515 [>.............................] - ETA: 1:24 - loss: 3.8130
 15616/370515 [>.............................] - ETA: 1:22 - loss: 3.8034
 15904/370515 [>.............................] - ETA: 1:22 - loss: 3.8024
 16256/370515 [>.............................] - ETA: 1:21 - loss: 3.7938
 16736/370515 [>.............................] - ETA: 1:20 - loss: 3.7913
 17120/370515 [>.............................] - ETA: 1:19 - loss: 3.7835
 17344/370515 [>.............................] - ETA: 1:19 - loss: 3.7811
 17824/370515 [>.............................] - ETA: 1:18 - loss: 3.7688
 18368/370515 [>.............................] - ETA: 1:16 - loss: 3.7695
 18976/370515 [>.............................] - ETA: 1:15 - loss: 3.7743
 19296/370515 [>.............................] - ETA: 1:14 - loss: 3.7696
 19840/370515 [>.............................] - ETA: 1:13 - loss: 3.7776
 20448/370515 [>.............................] - ETA: 1:12 - loss: 3.7843
 21056/370515 [>.............................] - ETA: 1:10 - loss: 3.7849
 21376/370515 [>.............................] - ETA: 1:10 - loss: 3.7773
 21760/370515 [>.............................] - ETA: 1:10 - loss: 3.7684
 22144/370515 [>.............................] - ETA: 1:09 - loss: 3.7620
 22656/370515 [>.............................] - ETA: 1:08 - loss: 3.7624
 22752/370515 [>.............................] - ETA: 1:09 - loss: 3.7635
 23072/370515 [>.............................] - ETA: 1:09 - loss: 3.7548
